Ano,Empresa,Capital,Trabalho,Producao
1967,3333,540.200000000802,1.31997054740318,3.676841035294
1968,3333,585.799999997872,1.45148654559133,3.27469525529727
1969,3333,588.299999999759,1.56878089887656,3.62394010512222
1970,3333,585.099999997548,1.46552723049187,3.30744670050694
1971,3333,571.099999999533,1.20478397640813,2.19352019333302
1972,3333,582.199999999113,1.1020119440506,2.96470469904684
1973,3333,586.699999998936,1.08502157738113,3.44436636904302
1974,3333,615.899999998154,0.976277864991463,4.39430926217408
1975,3333,631.800000001273,0.870205696796485,3.16878911862702
1976,3333,652.699999999235,0.878416750399059,2.80396495066112
1977,3333,705.099999996478,0.849559066925444,1.96966737017376
1978,3333,731.700000000012,0.893060107871844,1.9872598796795
1979,3333,821.599999996427,1.03933100445022,2.54784571947979
1980,3333,800.199999997491,0.726111753878772,0.898801253396315
1981,3333,807.800000000556,0.606933739527994,1.35192003046493
1982,3333,755.600000001999,0.426150026412706,0.709469549467609
1983,3333,757.400000001746,0.327797596573444,1.12307286523353
1984,3333,712.499999998001,0.320347368052727,1.04465819683626
1985,3333,690.500000000451,0.33475558118962,0.814782452330634
1986,3333,650.499999998335,0.288383734439528,0.607665726141336
1987,3333,603.899999997671,0.315999999998491,1.13100000000002
1988,3333,547.499999999641,0.329796670925448,2.00005723012892
1989,3333,512.100000000766,0.347466628636307,2.10343069024172
1990,3333,478.099999999016,0.35682798277912,1.7697950703615
1991,3333,447.600000000998,0.329632675255421,1.49675729183453
1992,3333,420.499999998737,0.290548196541706,1.20949132979087
1993,3333,394.899999998972,0.269713932529595,1.12422045883212
1994,3333,371.299999998873,0.255319705216451,1.19337722975995
1958,3334,4510.50000001491,2.96861058471497,13.7602988213875
1959,3334,4565.00000000425,3.28279273309225,16.2827937614455
1960,3334,4543.99999999551,3.23343566920514,16.5237301711571
1961,3334,4525.99999998424,2.98030688655363,15.7036587921548
1962,3334,4412.19999999266,3.22650785971918,16.0984324502212
1963,3334,4481.50000001158,3.42008674856394,16.8508416131669
1964,3334,4533.20000000547,3.71885314909913,18.2519584405142
1965,3334,4646.39999999804,3.91181629862188,20.7140297582367
1966,3334,4834.89999999884,4.04093212023061,22.9990571458456
1967,3334,5135.60000001577,4.46759262196782,24.9779042047856
1968,3334,5289.00000002126,4.61702529238841,25.8169893505605
1969,3334,5482.19999998558,5.1111893802357,23.8747085900512
1970,3334,5645.20000000084,5.22944962576507,21.7907081647929
1971,3334,5645.39999999563,4.81405242892944,18.2420561154341
1972,3334,5719.89999997976,5.35889878984899,19.8947289014579
1973,3334,5854.19999998853,6.25618824403902,23.6003735862
1974,3334,6251.09999997335,6.30451020408648,28.1744050236544
1975,3334,6314.70000001322,5.71738709475611,23.6350968206166
1976,3334,6288.99999997797,6.43499869969197,26.8824867310017
